epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,834.617,1.59094,1.39851,1.16194,0.79258,0.61832,0.69428,0.35557,1.66508,1.45582,1.29405,0.000664,0.000664,0.000664
2,1850.03,1.54516,1.05552,1.16081,0.70802,0.51389,0.53005,0.29608,1.58005,1.24586,1.26104,0.0012648,0.0012648,0.0012648
3,3182.04,1.5371,0.96052,1.15518,0.68847,0.33876,0.34878,0.2116,1.46812,1.11246,1.19985,0.0017996,0.0017996,0.0017996
