epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,253.974,1.62348,1.38479,1.15027,0.82876,0.67235,0.79905,0.4397,1.5336,1.228,1.20276,0.000664,0.000664,0.000664
2,554.154,1.54816,0.99898,1.13928,0.89452,0.72926,0.83845,0.47726,1.50633,1.17243,1.17425,0.00119893,0.00119893,0.00119893
3,747.475,1.50109,0.90861,1.12128,0.89445,0.77615,0.876,0.52007,1.4584,1.05259,1.15546,0.00160186,0.00160186,0.00160186
4,912.91,1.47455,0.84393,1.11305,0.89403,0.79698,0.88311,0.51853,1.4434,1.10623,1.14958,0.001406,0.001406,0.001406
5,1089.99,1.43386,0.80288,1.09388,0.89033,0.79024,0.89395,0.55291,1.37783,1.01813,1.14515,0.001208,0.001208,0.001208
6,1275.72,1.40081,0.75995,1.0852,0.94053,0.80628,0.90899,0.55627,1.39709,0.88759,1.15905,0.00101,0.00101,0.00101
7,1466.19,1.37598,0.73192,1.07329,0.75613,0.81107,0.85567,0.49612,1.48324,1.06749,1.19619,0.000812,0.000812,0.000812
8,1649.65,1.34937,0.7026,1.06086,0.93077,0.77582,0.89444,0.54395,1.42184,0.84196,1.15674,0.000614,0.000614,0.000614
9,1838.95,1.30343,0.6584,1.04696,0.88345,0.7567,0.89098,0.5541,1.38486,0.80949,1.14094,0.000416,0.000416,0.000416
10,2030.17,1.27587,0.62915,1.04147,0.88071,0.75259,0.88969,0.54571,1.40155,0.84993,1.14611,0.000218,0.000218,0.000218
