epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,741.559,1.51333,1.44113,1.21994,0.86579,0.75608,0.84273,0.51232,1.48265,1.36621,1.27879,0.000664,0.000664,0.000664
2,1297.6,1.51348,1.08094,1.24273,0.90891,0.78008,0.87154,0.50305,1.52664,1.30051,1.32333,0.00127797,0.00127797,0.00127797
3,1916.04,1.46311,0.96484,1.22334,0.7473,0.73038,0.82002,0.49786,1.39708,1.31465,1.28667,0.00183914,0.00183914,0.00183914
4,2593.56,1.44399,0.89043,1.21859,0.94911,0.76118,0.88957,0.52273,1.51311,0.97783,1.32401,0.0017624,0.0017624,0.0017624
5,3293.5,1.41253,0.84472,1.20319,0.92816,0.78176,0.87642,0.52643,1.47077,1.11582,1.30107,0.0016832,0.0016832,0.0016832
6,3991.33,1.39885,0.80939,1.19319,0.88986,0.80648,0.88774,0.53918,1.4133,0.87257,1.28293,0.001604,0.001604,0.001604
7,4602.35,1.37147,0.77748,1.18518,0.92097,0.82315,0.92018,0.57432,1.38368,0.80171,1.27024,0.0015248,0.0015248,0.0015248
8,5284.61,1.33892,0.74619,1.16108,0.89895,0.81818,0.91932,0.56889,1.40241,0.83377,1.2626,0.0014456,0.0014456,0.0014456
9,5989.94,1.35341,0.75193,1.16854,0.91671,0.75723,0.88377,0.53193,1.45575,0.89051,1.29121,0.0013664,0.0013664,0.0013664
10,6715.07,1.33533,0.71994,1.15909,0.81757,0.84691,0.89114,0.49399,1.51131,0.8986,1.34446,0.0012872,0.0012872,0.0012872
11,7452.66,1.30527,0.70051,1.15178,0.94985,0.85725,0.93315,0.5514,1.37292,0.94881,1.25614,0.001208,0.001208,0.001208
12,8166.76,1.30034,0.67777,1.14343,0.89374,0.78253,0.89535,0.53672,1.43219,0.81718,1.27845,0.0011288,0.0011288,0.0011288
13,8726.59,1.28235,0.67396,1.13546,0.9212,0.82315,0.92242,0.55805,1.39777,0.83721,1.27813,0.0010496,0.0010496,0.0010496
14,9295.65,1.27433,0.66329,1.12799,0.92013,0.85974,0.93748,0.60066,1.29045,0.7059,1.21674,0.0009704,0.0009704,0.0009704
15,9871.11,1.27764,0.65365,1.13342,0.79043,0.83752,0.89644,0.55282,1.38163,0.86381,1.25698,0.0008912,0.0008912,0.0008912
16,10438.9,1.20853,0.59547,1.11986,0.92344,0.83202,0.92112,0.54509,1.42122,0.77656,1.27449,0.000812,0.000812,0.000812
17,11006.7,1.19391,0.56279,1.11295,0.90906,0.8428,0.92779,0.5528,1.43681,0.71601,1.27089,0.0007328,0.0007328,0.0007328
18,11560.5,1.17863,0.55383,1.1002,0.93709,0.8106,0.92297,0.56922,1.36778,0.72448,1.25171,0.0006536,0.0006536,0.0006536
19,12114,1.17331,0.55057,1.10225,0.9301,0.86428,0.92906,0.54843,1.43246,0.69682,1.29498,0.0005744,0.0005744,0.0005744
20,12701.4,1.16337,0.53717,1.09649,0.92204,0.81357,0.92773,0.57499,1.38874,0.71618,1.25351,0.0004952,0.0004952,0.0004952
21,13327.1,1.14231,0.51991,1.08763,0.83674,0.84652,0.91897,0.57249,1.36334,0.72649,1.24987,0.000416,0.000416,0.000416
22,13977.7,1.12495,0.5077,1.07837,0.93596,0.78482,0.91884,0.57536,1.34736,0.72886,1.25152,0.0003368,0.0003368,0.0003368
23,14631.4,1.12384,0.49923,1.08103,0.94328,0.7966,0.9222,0.55916,1.4101,0.74321,1.28454,0.0002576,0.0002576,0.0002576
24,15180.4,1.11562,0.49666,1.07407,0.95104,0.81136,0.92499,0.57119,1.38119,0.68408,1.26029,0.0001784,0.0001784,0.0001784
25,15716.7,1.10526,0.48554,1.06473,0.92113,0.81232,0.93055,0.56115,1.39738,0.6803,1.27151,9.92e-05,9.92e-05,9.92e-05
